id,gender
nm0227827,1
nm0429012,1
nm0274034,1
nm0001171,1
nm0869794,1
nm2440242,1
nm0236835,1
nm0622416,1
nm0576762,1
nm0780684,1
nm8241694,1
nm0318027,1
nm0197950,1
nm0260020,1
nm0003167,1
nm0146185,1
nm0280961,1
nm1250791,1
nm0777760,1
nm0592490,1
nm0898199,1
nm0236329,1
nm0478942,1
nm0874535,1
nm0415591,1
nm0492006,1
nm0275835,1
nm0424614,1
nm0124304,1
nm0001137,1
nm0353714,1
nm2981082,1
nm0448894,1
nm0460388,1
nm0392625,1
nm0361570,1
nm0065764,1
nm0110814,1
nm0307326,1
nm0016422,1
nm0564706,1
nm0571205,1
nm0114460,1
nm0409109,1
nm0197314,1
nm0341431,1
nm0367496,1
nm0004991,1
nm0128377,1
nm0908797,1
nm0106062,1
nm0201690,1
nm1431691,1
nm0293889,1
nm0414279,1
nm1748344,1
nm0454596,1
nm0613997,1
nm0504803,1
nm0868074,1
nm0933443,1
